Size	Colour	Price	Online
M	gray	14.3	Yes
M	pink	47.7	Yes
M	green	8	Yes
L	gray	8.5	Yes
S	gray	53.9	No
M	pink	7.2	No
M	gray	5	Yes
M	blue	25	Yes
L	green	47.1	Yes
XL	pink	8.9	Yes
XL	gray	34.5	Yes
M	pink	51.9	Yes
L	blue	33.4	No
L	gray	25.5	Yes
L	green	7.5	No
M	gray	24.9	Yes
S	gray	50.2	Yes
S	blue	47.7	Yes
S	gray	12.7	Yes
XL	gray	28.8	No
XL	pink	12	Yes
L	green	10.3	Yes
M	gray	19.7	Yes
XL	gray	14.9	No
M	yellow	22.1	Yes
S	pink	5	Yes
L	yellow	51.9	Yes
XL	gray	50.7	Yes
XS	pink	6.6	Yes
L	pink	12.8	No
XS	gray	16.8	No
M	gray	6.4	Yes
L	gray	10.6	Yes
L	gray	48.5	Yes
M	yellow	7.4	Yes
L	gray	21	Yes
S	green	47.3	No
M	gray	8.1	Yes
L	gray	43.9	Yes
M	gray	27.7	Yes
M	pink	27.4	No
M	green	15.8	Yes
M	gray	4.6	No
S	gray	25.2	Yes
L	gray	24.5	No
L	gray	4.4	Yes
M	green	19.7	Yes
M	pink	57	Yes
M	gray	10	Yes
M	gray	49.1	No
L	gray	48.2	Yes
M	blue	16	Yes
S	pink	8	Yes
M	pink	44.6	Yes
M	gray	49.3	No
M	gray	11.1	Yes
M	gray	8.1	No
M	gray	57.8	No
S	blue	29.1	Yes
L	green	47.9	Yes
L	blue	18.2	No
M	gray	29.6	Yes
XL	blue	33.4	Yes
XXS	blue	14.5	No
M	gray	30.1	Yes
L	gray	48.9	No
XS	gray	51	No
M	green	46.9	Yes
L	gray	8.3	Yes
M	yellow	12.7	Yes
L	gray	22.8	Yes
L	pink	19.1	Yes
M	gray	18.6	Yes
L	gray	47.1	No
S	gray	16.8	Yes
L	green	59.2	Yes
XS	green	37.6	No
S	pink	30.1	Yes
L	gray	24	No
L	yellow	21.2	Yes
M	gray	22.4	Yes
M	gray	25.7	Yes
M	gray	20.9	Yes
M	pink	22.4	Yes
M	gray	45.5	Yes
L	blue	24.8	Yes
M	gray	10.4	Yes
XS	pink	30.1	Yes
M	gray	5	Yes
S	gray	11.9	Yes
L	gray	7.8	No
L	pink	11.8	Yes
L	blue	24.7	Yes
S	gray	56.4	Yes
M	green	6.7	No
S	blue	22.9	Yes
M	blue	33.4	Yes
XL	blue	5	Yes
M	gray	5	Yes
XL	pink	24	Yes
XS	green	54.9	Yes
M	blue	54.2	No
XL	pink	16.4	Yes
L	pink	20.1	Yes
XXS	green	48.1	Yes
XXL	pink	48.9	Yes
XS	gray	50.2	Yes
M	blue	13.9	Yes
M	gray	49.6	No
M	pink	47.8	Yes
M	pink	0.2	No
XS	green	51.3	Yes
L	green	47.2	Yes
S	pink	5	Yes
S	yellow	48.5	Yes
L	gray	31.7	Yes
S	gray	47.9	No
L	gray	6.6	Yes
M	blue	2.2	No
M	blue	54.3	Yes
M	green	7.2	Yes
M	gray	17.1	Yes
M	gray	9.9	Yes
M	pink	12.3	Yes
L	gray	5	No
M	blue	43.9	No
M	gray	24	Yes
XXS	gray	27.6	Yes
L	gray	14.1	Yes
M	blue	8.9	No
M	gray	7.5	Yes
M	gray	8.9	Yes
M	gray	13.9	No
XS	yellow	13.2	Yes
M	gray	44.7	Yes
M	gray	55.2	No
L	blue	58	No
M	gray	16.6	No
L	blue	49.3	Yes
L	gray	29	No
M	green	47.7	Yes
S	blue	45.1	Yes
XL	gray	52.9	No
XS	gray	9.9	Yes
S	green	29.8	No
XL	yellow	24.5	Yes
M	blue	48	Yes
L	gray	3.7	No
M	gray	28.5	Yes
S	gray	49.6	Yes
M	gray	53.2	Yes
S	gray	5	Yes
L	pink	11.5	Yes
S	yellow	6.5	Yes
XXS	blue	27.1	Yes
S	blue	52.7	No
XXS	gray	28.2	Yes
M	gray	50.3	Yes
XXS	gray	50.9	Yes
M	gray	56.6	No
S	gray	49.5	Yes
S	blue	9.7	Yes
XL	blue	31.1	Yes
S	blue	16.9	Yes
XL	green	21	No
M	yellow	17.7	Yes
S	gray	5	Yes
XL	gray	5	Yes
S	gray	5	No
M	gray	20.1	Yes
XS	gray	56	Yes
XS	gray	28.3	No
L	blue	31.9	Yes
M	blue	7.6	Yes
S	gray	53.4	Yes
M	pink	27.2	No
L	yellow	23.7	Yes
M	gray	44.6	Yes
M	gray	50.4	Yes
L	blue	12.6	Yes
M	yellow	52.5	Yes
S	green	47	Yes
S	pink	26.9	Yes
S	gray	12.1	Yes
M	gray	16.7	Yes
M	gray	30.1	Yes
L	gray	49.5	Yes
XL	blue	15	Yes
M	gray	20.3	No
M	gray	8.5	Yes
M	gray	15.7	Yes
L	blue	5	Yes
L	green	20.5	Yes
S	yellow	9.8	Yes
L	pink	26.7	Yes
XL	blue	10.6	No
M	gray	11.9	Yes
M	blue	20.3	Yes
M	blue	57.5	Yes
L	blue	21.4	Yes
XXL	green	9.6	Yes
XS	gray	12.9	Yes
M	gray	8	Yes
S	gray	49.6	Yes
XXS	blue	5	Yes
M	green	5	Yes
S	pink	31.2	Yes
M	yellow	50.4	Yes
M	gray	12.2	Yes
